Book-Title,Book_Image_link,Book_link,Book_Rating,Book_Price
It's Only the Himalayas,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Two,£45.17
Full Moon over Noah’s ...,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Four,£49.43
See America: A Celebration ...,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Three,£48.87
Vagabonding: An Uncommon Guide ...,https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Two,£36.94
Under the Tuscan Sun,https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Three,£37.33
A Summer In Europe,https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,Two,£44.34
The Great Railway Bazaar,https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,One,£30.54
A Year in Provence ...,https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,Four,£56.88
The Road to Little ...,https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,One,£23.21
Neither Here nor There: ...,https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Three,£38.95
"1,000 Places to See ...",https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,Five,£26.08
